"movie_id";"genre_id"
206634;17
206634;2
206634;7
207201;1
207201;4
207201;8
208092;1
208092;9
209144;10
209144;11
209163;17
209163;6
209163;4
209958;9
209958;5
209958;7
210945;19
210945;2
210945;21
211915;1
211915;8
212338;1
212338;8
212346;17
212346;1
212346;9
212720;2
212720;7
212985;9
212985;2
212985;11
213149;17
213149;2
213149;20
213847;2
213847;8
213847;13
215129;1
215750;17
215750;2
215750;13
216216;17
216216;10
216216;7
217505;9
217505;2
217869;2
217869;10
217869;7
218967;1
218967;2
218967;4
221027;19
221027;9
221027;2
223897;2
227445;17
227445;9
227445;2
227538;17
227538;6
227538;1
230011;17
230011;6
230011;12
230030;1
230030;4
230600;5
230600;10
230600;11
232500;17
232500;9
232500;11
234215;17
234215;7
236493;6
236493;1
236493;2
238380;17
238380;2
238380;7
240772;9
240772;11
240890;1
240890;8
241303;2
241303;8
241527;6
241527;3
241527;4
242423;1
242423;10
242423;7
242653;17
242653;7
243133;9
243133;2
243155;1
243155;2
243155;8
244244;17
244244;9
244244;11
245429;6
245429;12
245429;3
245574;2
245712;2
245712;11
245844;17
245844;6
245844;2
246460;17
246460;6
246460;11
246578;2
246578;10
246578;7
247638;1
247638;3
247638;8
247745;1
247745;9
247745;10
248667;19
248667;2
248667;21
249462;2
249462;18
250494;1
250494;8
250687;17
250687;6
250687;1
251075;1
251075;7
251127;1
251127;8
251160;9
251160;2
251160;11
252866;1
253474;19
253474;2
253474;18
253556;17
253556;6
253556;4
256380;1
256380;2
256380;4
256415;1
256415;8
257044;9
257044;2
257044;11
257076;17
257076;6
257076;9
257106;1
257106;5
257360;2
258000;9
258000;2
258000;11
258463;17
258463;10
258463;11
259324;17
259324;4
259324;11
259446;1
259446;2
259446;8
259711;4
259711;10
259711;8
261392;1
263488;5
263488;10
264464;19
264464;9
264464;2
265086;17
265086;2
265086;20
265208;1
265208;2
265208;8
265459;2
265459;11
265666;1
265666;2
266308;17
266308;6
266308;2
266543;6
266543;12
266543;1
266697;17
266697;9
266697;2
266915;17
266915;1
266915;9
266987;17
266987;9
266987;11
267913;6
267913;1
267913;3
268126;1
268126;2
268380;6
268380;12
268380;1
268695;17
268695;6
268695;7
268978;19
268978;2
272152;2
272152;10
272152;7
272338;1
272338;2
272338;8
274166;17
274166;6
274166;1
274558;2
274558;8
275847;6
275847;12
275847;1
276751;1
276751;2
276751;8
276919;9
276919;2
277027;2
277296;17
277296;6
277296;4
277371;1
277434;17
277434;2
277434;20
278504;2
278504;10
278504;11
280590;1
280590;8
281358;2
281358;8
283111;1
283111;8
285823;17
285823;9
285823;11
286106;2
286106;10
286106;7
286499;1
286499;2
286499;8
286716;17
286716;7
287467;2
287467;10
287467;8
287978;17
287978;9
288477;5
288477;10
288477;11
289043;2
289043;5
289043;7
289765;9
289765;2
289765;11
289879;2
289879;7
289879;11
289992;9
289992;2
289992;11
290002;1
290002;8
290334;17
290334;7
290334;11
290673;9
290673;2
290673;10
292506;17
292506;11
292963;9
292963;2
292963;11
293429;17
293429;6
293429;4
293508;2
293508;16
293508;8
293564;17
293564;1
293564;9
293662;17
293662;9
293662;11
295178;17
295178;6
295178;1
295297;6
295297;3
295297;4
295700;5
295700;11
295701;17
295701;6
295701;11
296572;17
296572;6
296572;7
298130;5
298130;10
298148;6
298148;12
298148;1
298203;2
298203;18
298814;17
298814;6
298814;7
299658;1
299658;9
299658;16
299977;17
299977;6
299977;2
300471;17
300471;6
300471;1
301357;1
301357;2
301357;8
302886;1
304141;6
304141;3
304141;4
305224;1
305357;17
305357;6
305357;1
306047;1
307453;6
307453;12
307453;1
307901;2
307987;1
307987;9
307987;2
308644;19
308644;2
308644;3
309593;5
309593;11
309698;10
309698;11
309987;2
309987;8
310793;9
310793;22
310793;2
311113;17
311113;6
311113;2
311429;17
311429;6
311429;4
312004;6
312004;12
312004;1
313542;9
313542;2
313542;11
313737;1
313737;8
314331;1
314331;2
314331;8
314353;17
314353;2
314353;11
315327;1
315327;4
315733;9
315733;2
315733;11
316654;17
316654;6
316654;7
317198;1
317198;2
317198;8
317219;6
317219;12
317219;1
317248;9
317248;2
317705;17
317705;6
317705;12
317740;17
317740;9
317740;11
317919;17
317919;6
317919;11
318462;6
318462;19
318462;2
318627;17
318627;5
318627;7
318649;17
318649;6
318649;1
319061;6
319061;2
319061;4
319262;17
319262;6
319262;7
319343;6
319343;1
319343;3
320661;17
320661;6
320661;2
320691;17
320691;4
320691;11
322259;17
322259;9
322259;11
322330;1
322330;3
322330;4
324216;9
324216;5
325703;17
325703;6
325703;4
325710;17
325710;2
325805;1
325805;9
325805;2
325980;17
325980;6
325980;4
327056;9
327056;2
327056;10
327084;6
327084;12
327084;1
327554;17
327554;9
327554;4
327597;12
327597;2
327597;3
327850;17
327850;6
327850;1
328107;17
328107;9
328107;2
328828;1
328880;6
328880;12
328880;1
329101;17
329101;5
330373;6
330373;3
330373;4
330793;17
330793;9
330793;2
332280;2
332280;8
332379;1
332379;18
332452;2
333766;1
333766;2
333766;8
335245;1
335245;9
335245;11
335266;1
335266;2
335345;2
335438;1
335438;9
337563;1
337563;4
337563;8
337741;1
337741;2
337741;8
337921;17
337921;9
337921;11
337978;17
337978;11
338013;2
338013;8
338013;7
338337;17
338337;10
338337;7
338348;6
338348;12
338348;1
338526;17
338526;6
338526;4
338564;17
338564;9
338564;2
338751;19
338751;2
339291;6
339291;1
339291;3
340163;17
340163;9
340163;2
340855;19
340855;9
340855;2
342258;17
342258;9
342258;2
343135;1
343135;8
343660;1
343660;2
343660;8
343737;2
343737;20
343737;11
343818;17
343818;10
343818;7
346491;17
346491;19
346491;2
347149;6
347149;12
347149;3
348150;17
348150;6
348150;7
348333;1
348836;5
348836;10
348836;11
349205;1
349205;3
349683;17
349683;6
349683;2
349903;9
349903;11
350258;19
350258;2
350258;18
351283;6
351283;12
351283;1
352248;19
352248;2
352248;8
353969;9
353969;2
353969;10
355295;17
355295;6
355295;1
356150;1
356910;17
356910;1
356910;9
357413;1
358082;6
358082;12
358082;1
358273;19
358273;2
358273;18
359013;17
359013;5
359013;7
359950;6
359950;1
359950;2
360486;17
360486;4
360486;5
360717;17
360717;6
360717;2
361596;22
361596;2
361596;13
361748;6
361748;2
361748;13
361862;2
361862;11
362120;1
362227;1
362227;2
362227;8
362270;17
362270;6
362270;1
363163;19
363163;2
363163;20
363547;17
363547;5
363771;6
363771;3
363771;4
363988;2
363988;10
363988;11
364569;17
364569;2
364569;10
364725;1
364725;21
365737;2
365737;11
365748;1
365748;5
365830;6
365830;1
365830;18
365907;17
365907;9
365907;2
366548;6
366548;12
366548;1
366551;6
366551;1
366627;2
366627;4
366627;10
367594;6
367594;1
367594;3
367882;17
367882;6
367959;6
367959;9
367959;2
368008;2
368008;10
368008;7
368447;2
368447;10
368447;11
368891;17
368891;6
368891;10
369339;17
369339;9
369339;2
369441;1
369441;9
369610;17
369610;6
369610;7
370263;17
370263;6
370263;5
371724;6
371724;1
371724;7
371746;17
371746;6
371746;7
372183;17
372183;10
372183;11
372588;17
372588;1
372784;17
372784;9
372784;2
373051;17
373051;6
373051;3
373074;17
373074;1
373074;4
