"person_id";"primary_name";"birth_year";"death_year";"primary_profession";"known_for_titles"
366846;"Jo Hartley";1972;0;"actress,casting_department,producer";"tt0419677,tt3137630,tt1083452,tt0480025"
367005;"Phil Hartman";1948;1998;"actor,writer,soundtrack";"tt0116705,tt0108174,tt0112095,tt0092695"
368689;"Leila Hatami";1972;0;"actress,costume_designer,production_designer";"tt0333645,tt2161980,tt1832382,tt6209470"
368969;"Kotoe Hatsui";1929;1990;"actress";"tt0348003,tt0054325,tt0092067,tt1937303"
368990;"Rohini Hattangadi";1955;0;"actress";"tt0098999,tt0083578,tt0083987,tt0088031"
369513;"Cole Hauser";1975;0;"actor,producer";"tt0106677,tt2397255,tt0322259,tt0119217"
369814;"Nigel Havers";1951;0;"actor,director,soundtrack";"tt0053494,tt0082158,tt0472160,tt0092965"
369954;"Keeley Hawes";1976;0;"actress,producer,soundtrack";"tt2303687,tt10535076,tt7493974,tt9140342"
370035;"John Hawkes";1959;0;"actor,soundtrack,music_department";"tt5027774,tt1399683,tt1441326,tt1866249"
370144;"Jack Hawkins";1910;1973;"actor,producer";"tt0052997,tt0050212,tt0052618,tt0058777"
370564;"Sessue Hayakawa";1886;1973;"actor,producer,director";"tt0050212,tt0005078,tt0006825,tt0150388"
370821;"Richard Haydn";1905;1985;"actor,director,soundtrack";"tt0037515,tt0072431,tt0059742,tt0043274"
371660;"Dennis Haysbert";1954;0;"actor,producer,soundtrack";"tt0097815,tt0113277,tt0297884,tt0285331"
371890;"Michel Hazanavicius";1967;0;"writer,director,actor";"tt1167660,tt0464913,tt1655442,tt5687334"
371955;"Stuart Hazeldine";1971;0;"writer,producer,director";"tt1258197,tt2872518,tt1480287,tt1431130"
372176;"Lena Headey";1973;0;"actress,producer,director";"tt1343727,tt0416449,tt1374989,tt0944947"
373282;"Peter Hedges";1962;0;"writer,producer,director";"tt0480242,tt7545524,tt0108550,tt0311648"
373429;"T. Hee";1911;1988;"writer,animation_department,art_department";"tt0038718,tt0032910,tt0039951,tt0055277"
373571;"Kevin Heffernan";1968;0;"actor,writer,producer";"tt0486551,tt0859635,tt0331953,tt0247745"
373871;"Graham Heid";1909;1976;"assistant_director,director,writer";"tt0032455,tt0034492"
375609;"Brigitte Helm";1906;1996;"actress";"tt0019646,tt0017136,tt0017621,tt0020635"
375738;"Tom Helmore";1904;1995;"actor";"tt1090685,tt0052357,tt0054387,tt0051074"
376540;"Martin Henderson";1974;0;"actor,assistant_director,soundtrack";"tt0329691,tt0475394,tt13560574,tt0298130"
377336;"Aksel Hennie";1975;0;"actor,producer,director";"tt1614989,tt3659388,tt2548396,tt1029235"
377888;"Justin Henry";1971;0;"actor,soundtrack";"tt0079417,tt1217239,tt0087685,tt0088128"
378144;"Jonathan Hensleigh";1959;0;"writer,director,producer";"tt0120053,tt0120591,tt0330793,tt3758814"
378175;"Shuler Hensley";1967;0;"actor,soundtrack,producer";"tt1767354,tt0216048,tt0338526,tt0386140"
378245;"Taraji P. Henson";1970;0;"actress,producer,soundtrack";"tt0410097,tt4846340,tt0421715,tt1155076"
378893;"Stephen Herek";1958;0;"producer,director,editorial_department";"tt0090887,tt0113862,tt0108333,tt0096928"
379114;"David Herman";1967;0;"actor,soundtrack";"tt0151804,tt0387808,tt0149460,tt0242423"
379179;"Mark Herman";1954;0;"writer,director,producer";"tt0115744,tt0914798,tt0246875,tt0147004"
379596;"Jay Hernandez";1978;0;"actor,producer,director";"tt0498353,tt1386697,tt0450278,tt0390022"
381416;"Grant Heslov";1963;0;"producer,actor,director";"tt1124035,tt1024648,tt0433383,tt0112715"
381478;"Jared Hess";1979;0;"director,writer,producer";"tt2461150,tt0457510,tt1161418,tt0374900"
382110;"David Hewlett";1968;0;"actor,writer,director";"tt7949218,tt5580390,tt8415836,tt0374455"
382402;"Jean Heywood";1921;2019;"actress";"tt0249462,tt0074072,tt0075472,tt0077040"
382676;"William Hickey";1927;1997;"actor";"tt0091605,tt0097958,tt0107688,tt0063462"
382819;"Catherine Hicks";1951;0;"actress,soundtrack";"tt0115083,tt0091738,tt0092007,tt0094862"
382830;"Dan Hicks";1951;2020;"actor,producer,miscellaneous";"tt0092991,tt0095379,tt0099365,tt0316654"
382956;"Scott Hicks";1953;0;"director,writer,assistant_director";"tt0117631,tt0098275,tt1327194,tt0120834"
383022;"Noriko Hidaka";1962;0;"actress,soundtrack,music_department";"tt0182629,tt0462422,tt0096283,tt0096685"
383354;"Clare Higgins";1955;0;"actress,soundtrack";"tt0093177,tt0095294,tt0795493,tt1677720"
383422;"John Michael Higgins";1963;0;"actor,soundtrack,music_department";"tt1981677,tt1068680,tt0218839,tt0310281"
383603;"Freddie Highmore";1992;0;"actor,producer,director";"tt0308644,tt0367594,tt1645080,tt2188671"
383708;"Rumi Hiiragi";1987;0;"actress";"tt0876563,tt0245429,tt1473235,tt1798188"
